Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Star Wars: Armada,2015,2,2,120,14,11,5386,7.82362,7.08897,1.48367,69.84384615384616,8,Long,Teen,Small
Gizmos,2018,2,4,50,14,0,11872,7.39079,7.08876,1.14508,21.428571428571427,5,Short,Teen,Small
Ghost Stories,2008,1,4,60,12,2,21061,7.2754,7.0881,1.42192,49.44758620689655,15,Short,PreTeen,Small
Cloudspire,2019,1,4,180,13,6,3286,8.19756,7.08551,1.6098,194.03703703703704,4,Long,Teen,Small
Agricola: All Creatures Big and Small,2012,2,2,30,13,5,13580,7.34048,7.08414,1.22529,45.083333333333336,11,Quick,Teen,Small
The Resistance,2009,5,10,30,13,3,40103,7.22223,7.08377,1.47291,13.282658227848101,14,Quick,Teen,Massive
51st State: Master Set,2016,1,4,90,14,10,6681,7.60591,7.08336,1.30583,44.0,7,Moderate,Teen,Small
Raiders of Scythia,2020,1,4,80,12,5,4948,7.78551,7.08306,1.1722,50.77090909090909,3,Moderate,PreTeen,Small
Altiplano,2017,2,5,120,12,6,8848,7.47717,7.08245,1.26461,42.434347826086956,6,Long,PreTeen,Large
So Clover!,2021,3,6,30,10,0,6372,7.58518,7.08213,1.1658,,2,Quick,PreTeen,Large
Ginkgopolis,2012,1,5,45,13,0,7535,7.50597,7.08196,1.27864,79.33277777777778,11,Short,Teen,Large
Love Letter,2019,2,6,20,10,0,8442,7.51333,7.07566,1.30135,6.0,4,Quick,PreTeen,Large
San Juan,2004,2,4,60,10,0,23563,7.23462,7.07509,1.17701,32.81166666666667,19,Short,PreTeen,Small
Mage Wars Arena,2012,2,2,90,13,21,7832,7.5835,7.07434,1.61616,43.8051282051282,11,Moderate,Teen,Small
Furnace,2020,2,4,60,12,2,9483,7.42612,7.07381,1.12007,35.287499999999994,3,Short,PreTeen,Small
Blood Bowl: Team Manager – The Card Game,2011,2,4,120,14,1,11269,7.38881,7.07227,1.31702,74.24875,12,Long,Teen,Small
Carpe Diem,2018,2,4,75,10,0,7344,7.5233,7.07035,1.1713,22.536923076923078,5,Moderate,PreTeen,Small
Newton,2018,1,4,90,14,1,6627,7.55921,7.07022,1.20971,33.613846153846154,5,Moderate,Teen,Small
Flamecraft,2022,1,5,60,10,6,10443,7.47657,7.06784,1.33802,77.10642857142857,1,Short,PreTeen,Large
Abyss,2014,2,4,60,14,4,14278,7.32455,7.06656,1.25915,43.44222222222223,9,Short,Teen,Small
Notre Dame,2007,2,5,75,10,0,13224,7.31735,7.06625,1.20657,44.04666666666667,16,Moderate,PreTeen,Large
Gùgōng,2018,1,5,90,12,0,8595,7.45399,7.06324,1.21862,66.66575757575758,5,Moderate,PreTeen,Large
The Pillars of the Earth,2006,2,4,120,12,0,17690,7.2662,7.06284,1.18932,40.499,17,Long,PreTeen,Small
At the Gates of Loyang,2009,1,4,120,10,0,11024,7.36248,7.06229,1.2745,77.598,14,Long,PreTeen,Small
Twice as Clever!,2019,1,4,30,10,1,8453,7.45129,7.05803,1.16402,17.323333333333334,4,Quick,PreTeen,Small
