Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
Brass: Birmingham,2018,2,4,120,14,15,41589,8.60841,8.42243,1.41849,144.33428571428573,5,Long,Teen,Small
Pandemic Legacy: Season 1,2015,2,4,60,13,1,51789,8.53305,8.38673,1.60207,54.64178571428572,8,Short,Teen,Small
Gloomhaven,2017,1,4,120,14,55,60064,8.60914,8.37477,1.74605,127.09821428571429,6,Long,Teen,Small
Ark Nova,2021,1,4,150,14,13,36307,8.53318,8.31867,1.37819,63.21214285714286,2,Long,Teen,Small
Twilight Imperium: Fourth Edition,2017,3,6,480,14,18,21980,8.61092,8.24098,1.61959,131.5155172413793,6,Marathon,Teen,Large
Terraforming Mars,2016,1,5,120,12,48,93542,8.36728,8.2226,1.41655,68.22367346938776,7,Long,PreTeen,Large
Dune: Imperium,2020,1,4,120,14,18,39007,8.42285,8.20508,1.27086,75.49592592592593,3,Long,Teen,Small
Gloomhaven: Jaws of the Lion,2020,1,4,120,14,14,31277,8.47494,8.19093,1.47589,29.417058823529413,3,Long,Teen,Small
War of the Ring: Second Edition,2011,2,4,180,13,8,19983,8.53471,8.17875,1.47925,370.0421739130434,12,Long,Teen,Small
Star Wars: Rebellion,2016,2,4,240,14,11,30937,8.4191,8.16951,1.36632,89.27181818181818,7,Very Long,Teen,Small
Spirit Island,2017,1,4,120,13,26,47136,8.35053,8.14961,1.50304,83.89975,6,Long,Teen,Small
Gaia Project,2017,1,4,150,12,9,25667,8.39565,8.13064,1.40828,68.57576923076923,6,Long,PreTeen,Small
Twilight Struggle,2005,2,2,180,13,5,47533,8.2517,8.0771,1.57953,77.30175675675675,18,Long,Teen,Small
Through the Ages: A New Story of Civilization,2015,2,4,120,14,6,30466,8.30445,8.07527,1.51783,45.531063829787236,8,Long,Teen,Small
Great Western Trail,2016,2,4,150,12,19,39467,8.21534,8.05091,1.30608,45.98463768115942,7,Long,PreTeen,Small
The Castles of Burgundy,2011,2,4,90,12,9,59565,8.13274,8.0079,1.24277,29.571428571428573,12,Moderate,PreTeen,Small
Scythe,2016,1,5,115,14,47,79443,8.15935,8.00671,1.44472,148.3417894736842,7,Long,Teen,Large
7 Wonders Duel,2015,2,2,30,10,21,88805,8.09617,7.9724,1.19173,21.78457142857143,8,Quick,PreTeen,Small
Eclipse: Second Dawn for the Galaxy,2020,2,6,200,14,6,11939,8.48449,7.96889,1.3674,243.0,3,Very Long,Teen,Large
Brass: Lancashire,2007,2,4,120,14,9,24086,8.19018,7.96361,1.37032,62.60847457627118,16,Long,Teen,Small
Nemesis,2018,1,5,180,12,19,28069,8.28247,7.95882,1.51858,222.85571428571424,5,Long,PreTeen,Large
Concordia,2013,2,5,100,13,9,38702,8.09835,7.94877,1.19651,62.09,10,Long,Teen,Large
A Feast for Odin,2016,1,4,120,12,12,26722,8.17856,7.94869,1.36461,94.399,7,Long,PreTeen,Small
Clank! Legacy: Acquisitions Incorporated,2019,2,4,120,13,0,8641,8.5603,7.94745,1.41977,87.0,4,Long,Teen,Small
Wingspan,2019,1,5,70,10,53,84989,8.06446,7.91649,1.35541,58.38869565217391,4,Moderate,PreTeen,Large
Terra Mystica,2012,2,5,150,12,18,46762,8.07604,7.91243,1.47197,52.64387096774194,11,Long,PreTeen,Large
Arkham Horror: The Card Game,2016,1,2,120,14,39,41202,8.13692,7.90712,1.53904,75.4380303030303,7,Long,Teen,Small
Lost Ruins of Arnak,2020,1,4,120,12,25,38934,8.07989,7.89412,1.23196,44.551162790697674,3,Long,PreTeen,Small
Root,2018,2,4,90,10,24,46837,8.07572,7.88402,1.45627,88.6587234042553,5,Moderate,PreTeen,Small
Great Western Trail: Second Edition,2021,1,4,150,12,4,10283,8.38125,7.88012,1.28451,46.06666666666667,2,Long,PreTeen,Small
Orléans,2014,2,4,90,12,18,29987,8.06279,7.87622,1.1641,49.25411764705883,9,Moderate,PreTeen,Small
Everdell,2018,1,4,80,13,37,49163,8.04206,7.8594,1.29278,63.74114285714286,5,Moderate,Teen,Small
Mage Knight Board Game,2011,1,4,240,14,5,32537,8.08626,7.85867,1.63555,58.47029411764705,12,Very Long,Teen,Small
Viticulture Essential Edition,2015,1,6,90,13,14,46065,8.00109,7.8509,1.26996,66.0282857142857,8,Moderate,Teen,Large
Barrage,2019,1,4,120,14,14,16094,8.17946,7.84925,1.42264,87.83333333333333,4,Long,Teen,Small
The Crew: Mission Deep Sea,2021,2,5,20,10,1,14400,8.19534,7.84601,1.27246,14.495000000000001,2,Quick,PreTeen,Large
Too Many Bones,2017,1,4,120,12,20,11775,8.34754,7.83464,1.55002,183.63545454545454,6,Long,PreTeen,Small
Food Chain Magnate,2015,2,5,240,14,9,19341,8.07774,7.81534,1.59311,130.61965517241376,8,Very Long,Teen,Large
Pax Pamir: Second Edition,2019,1,5,120,13,3,12409,8.22586,7.8013,1.5004,91.79966666666665,4,Long,Teen,Large
Marvel Champions: The Card Game,2019,1,4,90,14,16,21918,8.12877,7.79849,1.45866,212.48733333333334,4,Moderate,Teen,Small
Underwater Cities,2018,1,4,150,12,15,18163,8.07475,7.79056,1.18831,61.2425,5,Long,PreTeen,Small
Puerto Rico,2002,3,5,150,12,5,69857,7.92563,7.78832,1.39174,32.2695,21,Long,PreTeen,Large
Caverna: The Cave Farmers,2013,1,7,210,12,11,33800,7.95549,7.77488,1.34376,70.10029411764705,10,Very Long,PreTeen,Large
Blood Rage,2015,2,4,90,14,15,45205,7.93975,7.76849,1.41513,229.9596,8,Moderate,Teen,Small
Cascadia,2021,1,4,45,10,6,31204,7.96553,7.7647,1.11584,35.1435,2,Short,PreTeen,Small
Frosthaven,2022,1,4,120,14,9,5497,8.86079,7.76071,2.12787,233.68253968253967,1,Long,Teen,Small
Anachrony,2017,1,4,120,15,17,17565,8.08262,7.76059,1.39714,101.2495,6,Long,Teen,Small
On Mars,2020,1,4,150,14,2,11695,8.20886,7.76015,1.5079,122.71249999999999,3,Long,Teen,Small
Agricola,2007,1,5,150,12,29,71341,7.88374,7.7599,1.5504,45.24121621621621,16,Long,PreTeen,Large
Crokinole,1876,2,4,30,8,5,16932,8.01571,7.74657,1.61118,141.5,147,Quick,Young,Small
Pandemic Legacy: Season 0,2020,2,4,60,14,1,6879,8.42331,7.73813,1.55132,116.12125,3,Short,Teen,Small
Sleeping Gods,2021,1,4,1200,13,7,9992,8.27169,7.73788,1.45757,113.80676470588234,2,Marathon,Teen,Small
Kanban EV,2020,1,4,180,14,1,6710,8.44036,7.73489,1.29925,119.935,3,Long,Teen,Small
Pandemic Legacy: Season 2,2017,2,4,60,14,1,16275,8.04489,7.73486,1.68727,49.89107142857143,6,Short,Teen,Small
Heat: Pedal to the Metal,2022,1,6,60,10,0,14253,8.10728,7.72707,1.31071,98.13666666666667,1,Short,PreTeen,Large
Mansions of Madness: Second Edition,2016,1,5,180,14,13,34766,7.95916,7.72537,1.50146,97.18113636363636,7,Long,Teen,Large
Maracaibo,2019,1,4,120,12,8,15043,8.05498,7.72327,1.27838,52.75390243902439,4,Long,PreTeen,Small
Lisboa,2017,1,4,120,12,3,10415,8.19552,7.72047,1.45906,104.19391304347826,6,Long,PreTeen,Small
Tzolk'in: The Mayan Calendar,2012,2,4,90,13,11,38031,7.86651,7.71242,1.26222,44.998823529411766,11,Moderate,Teen,Small
Power Grid,2004,2,6,120,12,8,63942,7.81816,7.70862,1.33346,38.189038461538466,19,Long,PreTeen,Large
Clans of Caledonia,2017,1,4,120,12,11,19728,7.94809,7.69041,1.18211,87.49875,6,Long,PreTeen,Small
The Quacks of Quedlinburg,2018,2,4,45,10,20,45344,7.83302,7.68953,1.23777,41.071538461538466,5,Short,PreTeen,Small
Le Havre,2008,1,5,150,12,4,30843,7.85111,7.68609,1.41365,65.04409090909091,15,Long,PreTeen,Large
Paladins of the West Kingdom,2019,1,4,120,12,10,16532,7.99398,7.68604,1.2361,50.43333333333333,4,Long,PreTeen,Small
The Crew: The Quest for Planet Nine,2019,2,5,20,10,6,38760,7.83074,7.68396,1.30436,9.587857142857143,4,Quick,PreTeen,Large
Star Wars: Imperial Assault,2014,1,5,120,14,67,24106,7.96951,7.68196,1.41843,104.93442857142855,9,Long,Teen,Large
The Gallerist,2015,1,4,150,13,1,13900,8.02915,7.68168,1.35275,97.35235294117648,8,Long,Teen,Small
Mechs vs. Minions,2016,2,4,120,14,1,17047,7.97811,7.67166,1.35126,157.95,7,Long,Teen,Small
Grand Austria Hotel,2015,2,4,120,12,6,19450,7.92936,7.67055,1.25893,90.7425,8,Long,PreTeen,Small
Cthulhu: Death May Die,2019,1,5,120,14,4,10758,8.17301,7.6656,1.40092,217.99499999999998,4,Long,Teen,Large
Android: Netrunner,2012,2,2,45,14,78,29649,7.87836,7.6597,1.66382,111.30232558139535,11,Short,Teen,Small
Kingdom Death: Monster,2015,1,4,180,17,12,9350,8.50531,7.65961,2.01472,623.0737037037036,8,Long,Adult,Small
Azul,2017,2,4,45,8,11,83920,7.75807,7.64747,1.15367,27.793529411764705,6,Short,Young,Small
Race for the Galaxy,2007,2,4,60,12,5,54141,7.74626,7.63368,1.46976,30.899677419354838,16,Short,PreTeen,Small
Agricola (Revised Edition),2016,1,4,120,12,11,16557,7.95962,7.63322,1.42974,52.23714285714286,7,Long,PreTeen,Small
Eclipse: New Dawn for the Galaxy,2011,2,6,180,14,15,28106,7.83875,7.62948,1.50478,76.70420454545454,12,Long,Teen,Large
Five Tribes,2014,2,4,80,13,10,40263,7.77647,7.62855,1.26949,48.51483870967742,9,Moderate,Teen,Small
Aeon's End,2016,1,4,60,14,14,19283,7.92073,7.62765,1.35786,100.13590909090908,7,Short,Teen,Small
Clank!: A Deck-Building Adventure,2016,2,4,60,12,7,40307,7.78619,7.6258,1.20339,61.468823529411765,7,Short,PreTeen,Small
Obsession,2018,1,4,90,14,2,9133,8.15207,7.61693,1.34694,123.83166666666666,5,Moderate,Teen,Small
Fields of Arle,2014,1,2,120,13,4,10509,8.03425,7.60878,1.29458,107.849,9,Long,Teen,Small
Through the Ages: A Story of Civilization,2006,2,4,120,12,1,19156,7.85312,7.60835,1.69767,26.38730158730159,17,Long,PreTeen,Small
Teotihuacan: City of Gods,2018,1,4,120,14,13,19093,7.87451,7.60742,1.29763,55.54774193548387,5,Long,Teen,Small
Beyond the Sun,2020,2,4,120,14,0,12884,7.95456,7.60305,1.1481,52.63,3,Long,Teen,Small
Lords of Waterdeep,2012,2,5,120,12,16,54099,7.73424,7.59598,1.27112,38.859117647058824,11,Long,PreTeen,Large
The Voyages of Marco Polo,2015,2,4,100,12,6,24283,7.79379,7.58954,1.26331,57.52153846153847,8,Long,PreTeen,Small
Dominant Species,2010,2,6,240,14,6,20692,7.82153,7.58902,1.51253,48.58521739130434,13,Very Long,Teen,Large
Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,14,39,42146,7.75727,7.58709,1.44652,44.65818181818181,11,Long,Teen,Small
7 Wonders,2010,2,7,30,10,24,101339,7.69116,7.5839,1.27714,35.794591836734696,13,Quick,PreTeen,Large
The Search for Planet X,2020,1,4,75,13,1,10589,7.98518,7.56567,1.21197,34.64142857142857,3,Moderate,Teen,Small
Tainted Grail: The Fall of Avalon,2019,1,4,120,14,18,11611,8.11664,7.56156,1.77241,249.15211538461537,4,Long,Teen,Small
El Grande,1995,2,5,120,12,1,27086,7.73281,7.55445,1.3366,133.33,28,Long,PreTeen,Large
Architects of the West Kingdom,2018,1,5,80,12,13,27457,7.74635,7.55003,1.18163,47.08,5,Moderate,PreTeen,Large
The 7th Continent,2017,1,4,1000,14,8,21723,7.85209,7.54729,1.68652,170.92280991735538,6,Marathon,Teen,Small
Battlestar Galactica: The Board Game,2008,3,6,180,14,5,36034,7.7301,7.54364,1.59558,176.40513513513514,15,Long,Teen,Large
Inis,2016,2,4,90,14,2,18936,7.82565,7.53626,1.46177,54.64214285714286,7,Moderate,Teen,Small
Keyflower,2012,2,6,120,12,5,22537,7.73216,7.53542,1.32292,60.87166666666667,11,Long,PreTeen,Large
Decrypto,2018,3,8,45,12,1,20697,7.77123,7.53515,1.2672,52.998000000000005,5,Short,PreTeen,Large
Raiders of the North Sea,2015,2,4,80,12,6,23007,7.74546,7.52969,1.18714,60.63157894736842,8,Moderate,PreTeen,Small
Caylus,2005,2,5,150,12,4,28893,7.72174,7.52941,1.47627,65.64916666666667,18,Long,PreTeen,Large
Trickerion: Legends of Illusion,2015,2,4,180,14,4,10192,7.97457,7.52822,1.42336,63.908181818181816,8,Long,Teen,Small
Dominion: Intrigue,2009,2,6,30,13,2,33260,7.69277,7.52441,1.35582,30.0,14,Quick,Teen,Large
Mombasa,2015,2,4,150,12,3,13040,7.85481,7.52332,1.26564,74.66666666666667,8,Long,PreTeen,Small
Tigris & Euphrates,1997,2,4,90,12,0,28216,7.70398,7.52291,1.48636,88.85777777777778,26,Moderate,PreTeen,Small
Lorenzo il Magnifico,2016,2,4,120,12,5,13308,7.8536,7.52086,1.22464,39.33166666666667,7,Long,PreTeen,Small
Troyes,2010,1,4,90,12,2,22840,7.71871,7.51996,1.33356,59.70375,13,Moderate,PreTeen,Small
Eldritch Horror,2013,1,8,240,14,37,35455,7.75638,7.51892,1.5381,47.405538461538455,10,Very Long,Teen,Large
The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,120,14,13,15470,7.92686,7.51448,1.52075,96.12743589743589,4,Long,Teen,Large
Twilight Imperium: Third Edition,2005,3,6,240,14,2,19183,7.79643,7.5072,1.71749,83.4309708737864,18,Very Long,Teen,Large
Concordia Venus,2018,2,6,120,12,3,5181,8.28789,7.50604,1.18046,61.25,5,Long,PreTeen,Large
Russian Railroads,2013,2,4,120,13,1,17597,7.73918,7.49871,1.30076,80.42619047619048,10,Long,Teen,Small
Patchwork,2014,2,2,30,8,6,62820,7.60189,7.4967,1.16411,19.840526315789475,9,Quick,Young,Small
Trajan,2011,2,4,120,12,2,17297,7.75085,7.49215,1.35416,52.77222222222222,12,Long,PreTeen,Small
Carnegie,2022,1,4,120,12,1,7684,8.04215,7.48784,1.20999,121.66666666666667,1,Long,PreTeen,Small
Rising Sun,2018,3,5,120,14,8,20464,7.78192,7.48622,1.61437,218.42690476190478,5,Long,Teen,Large
Aeon's End: War Eternal,2017,1,4,60,14,7,5428,8.28623,7.48271,1.28537,59.0,6,Short,Teen,Small
Dominion,2008,2,4,30,13,10,88827,7.59862,7.4823,1.41975,32.160444444444444,15,Quick,Teen,Small
Vinhos: Deluxe Edition,2016,1,4,135,14,0,6468,8.10586,7.47141,1.25827,97.49555555555555,7,Long,Teen,Small
Dwellings of Eldervale,2020,1,5,150,14,2,6090,8.19623,7.47129,1.48931,226.8181818181818,3,Long,Teen,Large
Age of Steam,2002,1,6,120,13,6,10862,7.83561,7.47041,1.59376,91.80055555555556,21,Long,Teen,Large
The Isle of Cats,2019,1,4,90,8,7,19908,7.73115,7.4683,1.24092,91.5115,4,Moderate,Young,Small
Clank! In! Space!: A Deck-Building Adventure,2017,2,4,90,12,4,13728,7.79615,7.46774,1.20675,57.733333333333334,6,Moderate,PreTeen,Small
The Quest for El Dorado,2017,2,4,60,10,0,23064,7.66524,7.46518,1.09483,37.9375,6,Short,PreTeen,Small
Pandemic: Iberia,2016,2,5,45,8,2,10348,7.895,7.46376,1.20472,56.49611111111111,7,Short,Young,Large
Hansa Teutonica,2009,2,5,90,12,2,14984,7.7302,7.4637,1.37041,69.84210526315789,14,Moderate,PreTeen,Large
Codenames,2015,2,8,15,14,7,87798,7.55091,7.45872,1.30251,15.428627450980395,8,Quick,Teen,Large
Yokohama,2016,2,4,90,14,5,11337,7.81558,7.45785,1.15341,101.8925,7,Moderate,Teen,Small
Forbidden Stars,2015,2,4,180,14,5,8991,7.97841,7.45781,1.45733,206.25,8,Long,Teen,Small
Champions of Midgard,2015,2,4,90,10,10,16985,7.73136,7.45608,1.25413,52.747,8,Moderate,PreTeen,Small
Roll for the Galaxy,2014,2,5,45,13,11,31144,7.59988,7.45015,1.33735,41.05875,9,Short,Teen,Large
PARKS,2019,1,5,60,10,6,22917,7.68461,7.44946,1.20842,62.32933333333334,4,Short,PreTeen,Large
Cartographers,2019,1,100,45,10,3,27000,7.62637,7.44405,1.13555,23.898666666666667,4,Short,PreTeen,Massive
Oathsworn: Into the Deepwood,2022,1,4,90,14,11,3335,9.08614,7.44171,1.43167,383.35292682926826,1,Moderate,Teen,Small
Pandemic,2008,2,4,45,8,18,121739,7.54413,7.43908,1.33521,33.67335227272726,15,Short,Young,Small
Res Arcana,2019,2,4,60,12,3,20535,7.66642,7.43354,1.3562,30.07,4,Short,PreTeen,Small
Targi,2012,2,2,60,12,8,22366,7.61801,7.4295,1.11346,22.383846153846154,11,Short,PreTeen,Small
Watergate,2019,2,2,60,12,1,11043,7.79467,7.42512,1.164,23.299,4,Short,PreTeen,Small
Alchemists,2014,2,4,120,13,3,22212,7.65046,7.42355,1.42328,40.5192,9,Long,Teen,Small
Rajas of the Ganges,2017,2,4,75,12,2,13481,7.73145,7.42341,1.1373,37.165,6,Moderate,PreTeen,Small
Just One,2018,3,7,60,8,0,24951,7.59601,7.42211,1.20646,19.285714285714285,5,Short,Young,Large
Star Realms,2014,2,2,20,12,25,43544,7.56433,7.42087,1.27195,36.20894736842106,9,Quick,PreTeen,Small
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,1,8,120,13,0,20772,7.6477,7.42079,1.45429,47.3192,41,Long,Teen,Large
Kemet,2012,2,5,120,13,9,18837,7.66055,7.42075,1.336,57.91675675675676,11,Long,Teen,Large
It's a Wonderful World,2019,1,5,60,14,4,17057,7.69601,7.42004,1.24605,61.77,4,Short,Teen,Large
Praga Caput Regni,2020,1,4,150,12,6,7944,7.93857,7.41876,1.20142,40.29176470588236,3,Long,PreTeen,Small
Endeavor: Age of Sail,2018,2,5,90,13,1,8994,7.90336,7.41803,1.15925,91.15,5,Moderate,Teen,Large
Ra,1999,2,5,60,12,1,23824,7.58468,7.41538,1.33127,70.5362962962963,24,Short,PreTeen,Large
SCOUT,2019,2,5,15,9,0,10574,7.7952,7.4152,1.16988,32.6,4,Quick,PreTeen,Large
Hadrian's Wall,2021,1,6,60,12,1,6782,8.01564,7.41342,1.23309,36.66444444444445,2,Short,PreTeen,Large
Stone Age,2008,2,4,90,10,7,51639,7.53081,7.41043,1.24753,140.41846153846154,15,Moderate,PreTeen,Small
Legendary Encounters: An Alien Deck Building Game,2014,1,5,60,17,5,13004,7.76029,7.40887,1.36735,132.71428571428572,9,Short,Adult,Large
Ticket to Ride: Europe,2005,2,5,60,8,8,73117,7.52933,7.40769,1.19346,36.32304347826087,18,Short,Young,Large
Terraforming Mars: Ares Expedition,2021,1,4,60,14,16,15483,7.69688,7.40308,1.3878,36.61018518518519,2,Short,Teen,Small
The Lord of the Rings: The Card Game,2011,1,2,60,13,6,23801,7.66086,7.40098,1.55541,61.41914893617021,12,Short,Teen,Small
Marco Polo II: In the Service of the Khan,2019,2,4,120,12,2,6822,7.9841,7.40025,1.15293,50.8725,4,Long,PreTeen,Small
Star Wars: X-Wing Miniatures Game,2012,2,2,45,14,11,24765,7.64061,7.3988,1.4369,126.35540540540539,11,Short,Teen,Small
Magic: The Gathering,1993,2,2,20,13,3,38657,7.56996,7.39724,1.84424,7243.496875000002,30,Quick,Teen,Small
Viscounts of the West Kingdom,2020,1,4,90,12,7,8919,7.86615,7.39585,1.20593,52.71357142857143,3,Moderate,PreTeen,Small
Tyrants of the Underdark,2016,2,4,60,14,1,8431,7.91211,7.39447,1.21041,91.6,7,Short,Teen,Small
Istanbul,2014,2,5,60,10,8,30543,7.54595,7.39354,1.14966,33.57142857142857,9,Short,PreTeen,Large
Glen More II: Chronicles,2019,2,4,120,12,11,7628,7.91767,7.39348,1.14907,94.66000000000001,4,Long,PreTeen,Small
Undaunted: Normandy,2019,2,2,60,14,1,10623,7.81211,7.39073,1.2215,51.37375,4,Short,Teen,Small
Xia: Legends of a Drift System,2014,3,5,180,12,5,9643,7.86804,7.39023,1.56406,166.66666666666666,9,Long,PreTeen,Large
That's Pretty Clever!,2018,1,4,30,8,1,23091,7.58068,7.38977,1.12752,24.65833333333333,5,Quick,Young,Small
Welcome To...,2018,1,100,25,10,5,29229,7.54651,7.38975,1.13453,34.99722222222223,5,Quick,PreTeen,Massive
War Chest,2018,2,4,30,14,4,9079,7.86633,7.38373,1.35099,34.398,5,Quick,Teen,Small
Splendor Duel,2022,2,2,30,10,2,6948,7.98299,7.37621,1.07308,28.4,1,Quick,PreTeen,Small
Jaipur,2009,2,2,30,12,3,49256,7.48872,7.37577,1.10673,24.38,14,Quick,PreTeen,Small
Chaos in the Old World,2009,3,4,120,13,0,15471,7.66448,7.37333,1.48265,214.64285714285714,14,Long,Teen,Small
Radlands,2021,2,2,40,14,1,8453,7.90295,7.37297,1.28616,46.23076923076923,2,Short,Teen,Small
War of the Ring,2004,2,4,120,12,3,10590,7.77374,7.37029,1.63573,83.2392,19,Long,PreTeen,Small
Dominion (Second Edition),2016,2,4,30,14,2,9104,7.84733,7.36457,1.37913,45.66444444444445,7,Quick,Teen,Small
Descent: Journeys in the Dark (Second Edition),2012,1,5,120,14,6,25003,7.62434,7.35861,1.4807,159.1869014084507,11,Long,Teen,Large
This War of Mine: The Board Game,2017,1,6,120,18,5,12481,7.78028,7.35775,1.56061,59.23739130434783,6,Long,Adult,Large
Azul: Summer Pavilion,2019,2,4,45,8,0,14554,7.65318,7.35557,1.16148,30.21357142857143,4,Short,Young,Small
Memoir '44,2004,2,8,60,8,6,29533,7.53909,7.35386,1.38162,84.66666666666667,19,Short,Young,Large
Nemesis: Lockdown,2022,1,5,180,12,7,4395,8.38431,7.35315,1.43675,253.38590909090908,1,Long,PreTeen,Large
Unmatched: Cobble & Fog,2020,2,4,40,9,10,6433,8.00981,7.35287,1.2539,21.5,3,Short,PreTeen,Small
Final Girl,2021,1,1,60,14,18,4546,8.3603,7.35149,1.32153,161.6745,2,Short,Teen,Individual
Horrified,2019,1,5,60,10,1,15107,7.6692,7.34882,1.13507,27.8495,4,Short,PreTeen,Large
Cosmic Encounter,2008,3,5,120,12,4,32141,7.5252,7.34622,1.70131,55.118,15,Long,PreTeen,Large
Too Many Bones: Undertow,2018,1,2,180,12,14,3043,8.69331,7.34455,1.31293,111.0,5,Long,PreTeen,Small
Railways of the World,2005,2,6,120,10,6,12106,7.67298,7.34414,1.3422,78.7659375,18,Long,PreTeen,Large
Wingspan Asia,2022,1,2,70,10,6,3993,8.35857,7.34071,1.18495,34.75,1,Moderate,PreTeen,Small
Castles of Mad King Ludwig,2014,1,4,90,13,3,25107,7.51828,7.34015,1.24642,38.89975,9,Moderate,Teen,Small
The Resistance: Avalon,2012,5,10,30,13,2,32508,7.52379,7.33897,1.5109,11.096250000000001,11,Quick,Teen,Massive
Sagrada,2017,1,4,45,14,9,38844,7.48225,7.33797,1.15911,27.52823529411765,6,Short,Teen,Small
Sekigahara: The Unification of Japan,2011,2,2,180,14,2,5675,8.00362,7.33708,1.30151,51.51809523809524,12,Long,Teen,Small
Dune,2019,2,6,180,14,7,7763,7.95807,7.33336,1.59186,41.92642857142857,4,Long,Teen,Large
The Red Cathedral,2020,1,4,80,10,3,10511,7.73523,7.33259,1.08164,38.54333333333333,3,Moderate,PreTeen,Small
Ora et Labora,2011,1,4,180,13,1,10811,7.68719,7.33179,1.36613,64.17529411764706,12,Long,Teen,Small
A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,14,9,33620,7.54234,7.32797,1.53892,34.190181818181806,12,Very Long,Teen,Large
Ticket to Ride: Nordic Countries,2007,2,3,60,8,3,13728,7.6269,7.32705,1.22126,41.666666666666664,16,Short,Young,Small
Revive,2022,1,4,120,14,1,4530,8.17914,7.32058,1.18249,86.4,1,Long,Teen,Small
Star Wars: Outer Rim,2019,1,4,180,14,9,11455,7.7311,7.3205,1.29893,43.499,4,Long,Teen,Small
Dead of Winter: A Crossroads Game,2014,2,5,120,13,11,45403,7.4772,7.32013,1.43972,36.08465277777777,9,Long,Teen,Large
Commands & Colors: Ancients,2006,2,2,60,12,4,8703,7.77359,7.31939,1.40791,66.23666666666666,17,Short,PreTeen,Small
Suburbia,2012,1,4,90,8,8,24770,7.48338,7.31917,1.24863,37.484328358208955,11,Moderate,Young,Small
Captain Sonar,2016,2,8,60,14,0,20544,7.52418,7.31579,1.37943,52.76923076923077,7,Short,Teen,Large
Space Base,2018,2,5,60,14,2,17595,7.54848,7.31567,1.25804,42.999375,5,Short,Teen,Large
Go,-2200,2,2,180,8,1,16872,7.64755,7.31349,1.90557,27.225238095238097,4223,Long,Young,Small
Meadow,2021,1,4,90,10,0,8862,7.77408,7.31347,1.20326,34.198,2,Moderate,PreTeen,Small
Village,2011,2,4,90,12,4,22906,7.49684,7.31299,1.19691,58.42771428571429,12,Moderate,PreTeen,Small
Earth,2023,1,5,90,13,9,9694,7.75424,7.31029,1.44754,59.94500000000001,0,Moderate,Teen,Large
Paleo,2020,1,4,60,10,5,10788,7.71681,7.30742,1.26964,38.857142857142854,3,Short,PreTeen,Small
Clank!: Catacombs,2022,2,4,90,13,0,3711,8.33282,7.30561,1.12712,51.666666666666664,1,Moderate,Teen,Small
Welcome to the Moon,2021,1,6,30,10,0,5386,8.01361,7.30379,1.13906,28.399,2,Quick,PreTeen,Large
Splendor,2014,2,4,30,10,20,76940,7.42314,7.30161,1.28993,37.16466666666667,9,Quick,PreTeen,Small
Tichu,1991,4,4,60,10,1,15209,7.57723,7.29952,1.67636,102.0825,32,Short,PreTeen,Small
Modern Art,1992,3,5,45,10,2,21455,7.4893,7.2988,1.32261,218.4803846153846,31,Short,PreTeen,Large
Star Realms: Colony Wars,2015,2,2,20,12,10,7900,7.80762,7.29826,1.20742,20.0,8,Quick,PreTeen,Small
Carcassonne,2000,2,5,45,7,23,122604,7.4097,7.29742,1.30913,28.114107142857144,23,Short,Young,Large
Coimbra,2018,2,4,90,14,0,11525,7.6295,7.29664,1.1611,42.90217391304348,5,Moderate,Teen,Small
Near and Far,2017,2,4,120,13,6,10055,7.69408,7.29492,1.33007,54.45333333333333,6,Long,Teen,Small
Planet Unknown,2022,1,6,80,10,2,5939,7.93756,7.2949,1.12698,127.22222222222223,1,Moderate,PreTeen,Large
Combat Commander: Europe,2006,2,2,180,12,0,5868,7.94947,7.2949,1.64292,114.81642857142857,17,Long,PreTeen,Small
Dinosaur Island,2017,1,4,120,8,13,15635,7.58643,7.29456,1.34223,81.44364864864862,6,Long,Young,Small
Ankh: Gods of Egypt,2021,2,5,90,14,8,8186,7.8324,7.2939,1.56116,222.560243902439,2,Moderate,Teen,Large
Under Falling Skies,2020,1,1,40,12,1,10152,7.69395,7.29306,1.15333,18.0576,3,Short,PreTeen,Individual
Nations,2013,1,5,200,14,1,12150,7.60684,7.29288,1.40722,55.256956521739134,10,Very Long,Teen,Large
Calico,2020,1,4,45,10,3,16922,7.5617,7.29108,1.22201,33.97142857142857,3,Short,PreTeen,Small
Nidavellir,2020,2,5,45,10,1,12362,7.60978,7.2908,1.14057,33.70583333333334,3,Short,PreTeen,Large
Paths of Glory,1999,2,2,480,14,2,5108,8.05463,7.28992,1.6521,47.382333333333335,24,Marathon,Teen,Small
